id,num_read,num_write,read_write_ratio,mean_key_size,mean_value_size,std_key_size,std_value_size,var_key_size,var_value_size,max_cpu_usage,max_memory_usage
28,536,4828,0.11101905550952776,124.80613090306545,126.43206296603148,71.31740653832163,71.86042152405197,5086.172475352241,5163.920181614431,4.958615384615385,29.9140625
29,828,7452,0.1111111111111111,126.79951690821257,126.20289855072464,72.8351430039324,72.20103201438279,5304.958056403284,5212.989023941928,4.385547073791349,30.87109375
30,2009,2009,1.0,126.57640617222499,124.49527127924341,71.35754803927593,71.85943216152123,5091.899662177571,5163.777990576271,4.119309462915601,27.4140625
31,886,7973,0.11112504703373886,126.13683682428196,126.64894017308416,71.58056954688462,71.7599523802987,5123.7779366563855,5149.490765622738,6.366304909560723,31.15234375
32,6868,763,9.001310615989516,125.38925294888598,130.49934469200525,70.35596958700658,72.41438740683384,4949.962456527796,5243.843503507016,4.40816120906801,26.80859375
33,5874,653,8.99540581929556,127.24196018376723,124.43797856049005,73.62956288829312,71.45982974422175,5421.3125311211115,5106.50726707316,4.284860050890585,26.82421875
34,401,3606,0.11120354963948974,125.93732667775929,127.9381586245147,71.94928834364171,72.29046665963472,5176.700093156497,5225.911569867758,7.4460439560439555,29.37890625
35,314,2827,0.11107180756986204,125.45206933144676,125.04704633887513,72.68695117893898,72.27245264117111,5283.392871689459,5223.307410770321,4.500692307692308,29.09765625
36,2518,2518,1.0,125.03772835583797,124.76290706910247,71.38301012292666,72.68205794887658,5095.534134209851,5282.681547683852,3.8250255102040818,28.88671875
37,972,972,1.0,125.29732510288066,127.09053497942386,70.59718103565115,72.57705896546109,4983.961970180502,5267.429488076015,3.7045524296675194,26.87890625
38,2756,2757,0.9996372869060574,126.49220166848023,125.38483859267319,72.55630185199816,73.16153243408365,5264.41693843827,5352.609828103474,5.988128205128205,28.94140625
39,2260,2260,1.0,124.15663716814159,125.64336283185841,73.1767873655156,71.54897390193564,5354.842209137883,5119.255666419866,5.882025316455696,28.6796875
40,901,8105,0.11116594694632943,125.44120913016657,125.60481184454041,72.45025545719797,72.27574775310008,5249.039515813243,5223.783713269751,6.652219321148825,31.0859375
41,2724,2723,1.0003672420124863,125.62247521116416,127.46162320969519,72.63965470663389,72.95156249255292,5276.519435898999,5321.930470104854,6.602954545454545,28.96484375
42,175,1577,0.1109701965757768,125.428662016487,124.95307545973367,71.62858155606632,73.01463819398818,5130.653695734045,5331.137390598998,3.1856153846153847,27.23828125
43,4548,505,9.005940594059405,129.9920792079208,126.37029702970297,71.17190747287196,72.94749354430024,5065.440413327047,5321.336814395725,3.7218481012658224,26.66796875
44,7442,827,8.998790810157194,127.27448609431681,126.76299879081016,72.27570876211516,71.27369023566779,5223.778077066089,5079.938919809926,13.601284634760704,26.8046875
45,612,5509,0.11109094209475404,127.99037937919768,124.06571065529134,72.27595347944532,72.27683733461858,5223.813451362945,5223.941215094914,6.077227979274611,30.30078125
46,3270,3270,1.0,125.33302752293578,125.43363914373089,71.61797108197709,72.24150359984155,5129.133781898906,5218.834842365919,5.778775510204081,29.265625
47,6848,761,8.99868593955322,122.40867279894876,128.17345597897503,72.84623227224957,70.95086424134047,5306.573556262535,5034.025136593125,4.085417721518987,26.796875
48,342,3077,0.11114722131946701,123.67208319792005,124.56743581410464,72.14326640892497,72.25886597270113,5204.650888149123,5221.343711660785,6.306487179487179,29.1484375
49,6863,763,8.99475753604194,124.62516382699869,128.39449541284404,72.09255858787432,71.64840385824401,5197.337003746092,5133.493775434034,6.739428571428571,26.7890625
50,308,2767,0.11131189013371882,126.19045898084568,125.9703650162631,72.47105445592827,73.73502414202244,5252.05373395412,5436.853785224633,6.163523316062176,28.953125
51,196,1768,0.11085972850678733,125.75622171945702,127.3670814479638,72.66169226791887,72.27821790365219,5279.721523237739,5224.140783327828,5.953179487179487,27.19140625
52,1362,1361,1.0007347538574578,128.565025716385,125.66348273328435,72.79587948515851,72.21245144329255,5299.24007001772,5214.638143449885,14.649477611940299,27.03125
53,357,3210,0.11121495327102804,122.34890965732087,127.73489096573209,71.29095668595748,71.9469035553109,5082.400505199065,5176.356931197207,6.26811369509044,29.22265625
54,43,385,0.11168831168831168,124.11168831168831,122.6051948051948,72.36593562629632,70.03083378967479,5236.828639069264,4904.317681277056,2.968948717948718,26.609375
55,574,64,8.96875,111.09375,125.96875,71.48397950168153,66.22543719558242,5109.959325396825,4385.808531746032,2.44239898989899,26.4296875
56,611,5500,0.11109090909090909,126.66,125.90472727272727,72.56260435783108,71.60052401043582,5265.331551191126,5126.635038568996,6.805245478036176,30.27734375
