,num_read,num_write,read_write_ratio,mean_key_size,mean_value_size,std_key_size,std_value_size,var_key_size,var_value_size,max_cpu_usage,max_memory_usage
48,11,100,0.11,51.9,51.38,28.336725287160487,29.775083543123767,802.9700000000006,886.5555999999998,4.092958280657396,41.42578125
49,68,8,8.5,57.375,50.875,20.266582716383144,30.411500702859108,410.734375,924.859375,0.5635411471321696,41.12890625
50,6,53,0.1132075471698113,51.50943396226416,54.490566037735846,25.952512977904096,28.59913090215936,673.5329298682806,817.9102883588464,3.043846153846154,41.5078125
51,21,21,1.0,64.38095238095238,55.523809523809526,25.291587516266564,28.78428646661734,639.6643990929707,828.53514739229,1.4956679151061172,41.29296875
52,74,73,1.0136986301369864,55.397260273972606,53.61643835616438,27.393999805990607,29.042071578337325,750.4312253706134,843.4419215612686,0.0781389578163771,40.44921875
53,52,53,0.981132075471698,51.20754716981132,52.301886792452834,29.10706228934311,25.71585290787838,847.2210751156997,661.3050907796369,3.2348682559598494,41.328125
54,42,43,0.9767441860465116,49.18604651162791,55.18604651162791,28.52192613440476,29.32437339599269,813.5002704164414,859.9188750676038,2.540998735777497,40.62109375
55,60,61,0.9836065573770492,48.14754098360656,51.24590163934426,28.09284143433835,29.36243598780364,789.2077398548776,862.1526471378663,3.4738916876574306,41.4140625
56,16,16,1.0,49.0,47.0,26.248809496813376,26.22498808388671,689.0000000000001,687.75,1.1349379652605458,41.078125
57,73,8,9.125,55.875,49.125,32.94479283589442,27.75084458174201,1085.3593750000002,770.109375,0.5803955500618047,40.52734375
58,2,22,0.0909090909090909,56.0,43.13636363636363,26.20374712968288,29.36029392741381,686.6363636363636,862.0268595041323,1.3846172839506172,41.328125
59,84,9,9.333333333333334,37.22222222222222,47.11111111111112,23.44628744730663,25.81319406145472,549.7283950617285,666.320987654321,0.6055472636815921,40.82421875
60,6,52,0.1153846153846153,54.30769230769231,49.96153846153846,28.386439382712343,26.334360077853784,805.7899408284023,693.4985207100592,3.152528301886792,41.22265625
61,12,103,0.116504854368932,52.3495145631068,46.1747572815534,27.286580057249058,28.434707079353934,744.557451220662,808.532566688661,3.247667087011349,41.68359375
62,98,11,8.909090909090908,58.54545454545455,58.18181818181818,29.143418519027698,19.42265865996433,849.3388429752066,377.2396694214875,1.1102386934673367,40.546875
